status,title,company,location,date,blurb,tags,link,id,provider,query,locale,wage,remoteness
NEW,Project Engineer-Product Security,Rockwell Automation,"Cambridge, ON N1P 0A1",2025-01-22,You will be responsible for providing product security expertise to product development teams throughout all phases of our security development lifecycle. Bachelor's Degree in relevant field.,"Job types: Full-time
Remote: Hybrid work
Benefits: RRSP match, Dental care, Paid time off, Employee assistance program, Flexible schedule
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=1e7b8920866c89f4,IndeedScraperCANEng_1e7b8920866c89f4,IndeedScraperCANEng,Python,CANADA_ENGLISH,,TEMPORARILY_REMOTE
NEW,Senior Software Engineer - Gen AI,Sun Life,"Waterloo, ON",2025-01-22,"The Canada IT – Platforms and Engineering Domain is looking for a Senior Software Engineer with at least 5 years of software development experience. Participate in the design, development, and rollout…",Schedules: On call,https://www.indeed.ca/m/viewjob?jk=34ba97e722dc50c3,IndeedScraperCANEng_34ba97e722dc50c3,IndeedScraperCANEng,Python,CANADA_ENGLISH,$84000 - $138000 yearly,UNKNOWN
NEW,Wind Engineer/ EIT Buildings and Structures,Rowan Williams Davies & Irwin,"Guelph, ON N1G 4P6",2025-01-22,"Wind Engineer – Buildings and Structures Guelph, Ontario RWDI is a global climate and performance engineering consulting firm that helps its clients redefine what’s possible by overcoming design…","Job types: Full-time
Benefits: RRSP match
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=0fcb77e893821a50,IndeedScraperCANEng_0fcb77e893821a50,IndeedScraperCANEng,Python,CANADA_ENGLISH,$65000 - $80000 yearly,UNKNOWN
NEW,Software Developer Engineer in Test (SDET) – Core Protection Technology,"McAfee, LLC","Waterloo, ON",2025-01-22,"You have experience working with python and C++. As part of a core-technology team, you will work closely with developers to provide verification of Windows malware detection technologies and drivers.","Benefits: Dental care, Paid time off, Vision care, Flexible schedule",https://www.indeed.ca/m/viewjob?jk=be96fd4eee9e8b9c,IndeedScraperCANEng_be96fd4eee9e8b9c,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,Insights Analyst,Home Hardware Stores Limited,"St. Jacobs, ON",2025-01-22,Welcome Home! We’re more than Canada’s largest independent hardware and building supplies retailer—we’re part of communities across the nation. Transforming Data into Actionable Insights As an…,"Job types: Full-time
Remote: Hybrid work
Benefits: Disability insurance, Dental care, Vision care, Life insurance
Job types cc: Permanent, Full-time",https://www.indeed.ca/m/viewjob?jk=079c13ebd9c94d85,IndeedScraperCANEng_079c13ebd9c94d85,IndeedScraperCANEng,Python,CANADA_ENGLISH,,TEMPORARILY_REMOTE
NEW,Cloud Full Stack Developer II (Remote - Canada),Ansys,"Waterloo, ON",2025-02-19,"Requisition #: 16224 Our Mission: Powering Innovation That Drives Human Advancement When visionary companies need to know how their world-changing ideas will perform, they close the gap between…",Remote: Remote,https://www.indeed.ca/m/viewjob?jk=d100b243ae4d9687,IndeedScraperCANEng_d100b243ae4d9687,IndeedScraperCANEng,Python,CANADA_ENGLISH,,FULLY_REMOTE
NEW,Senior Controls System Designer,Rockwell Automation,"Kitchener, ON",2025-02-20,"Authoring and modifying software code (python, C++, or other). This role will report to Systems Engineering Manager. It is a specialized controls design role within the Systems Engineering Team.","Job types: Full-time
Remote: Hybrid work
Benefits: RRSP match, Dental care, Paid time off, Employee assistance program, Flexible schedule
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=b078101d104b71b7,IndeedScraperCANEng_b078101d104b71b7,IndeedScraperCANEng,Python,CANADA_ENGLISH,,TEMPORARILY_REMOTE
NEW,detail programmer,AURITAS TECHNOLOGIES,"Waterloo, ON",2025-01-22,Durée de l'emploi: Permanent Langue de travail: Anglais Heures de travail: 40 hours per week Education: Expérience: Education Bachelor's degree Work setting Consulting firm International level…,"Job types: Full-time
Benefits: Extended health care, Dental care
Job types cc: Permanent, Full-time",https://www.indeed.ca/m/viewjob?jk=82cbd3d0b064ea06,IndeedScraperCANEng_82cbd3d0b064ea06,IndeedScraperCANEng,Python,CANADA_ENGLISH,$46.05 - $46.05 hourly,UNKNOWN
NEW,Cloud Full Stack Developer (Remote - Canada),Ansys,"Waterloo, ON",2025-02-19,The trends driving digital transformation require high-performance computing beyond the on-premises capabilities of most businesses. The R&D Engineer or Cloud Full Stack Developer contributes to the…,Remote: Remote,https://www.indeed.ca/m/viewjob?jk=eaacb75b75f67d72,IndeedScraperCANEng_eaacb75b75f67d72,IndeedScraperCANEng,Python,CANADA_ENGLISH,,FULLY_REMOTE
NEW,Data Support Engineer,Manulife,"Waterloo, ON",2025-02-14,"The Opportunity Manulife is looking for a Data Support Engineer to join our Canadian Data Office team, as we move forward with the brand new Microsoft Azure cloud-based data technology stack,…","Job types: Full-time
Remote: Hybrid work
Benefits: Disability insurance, Dental care, Paid time off, Vision care
Job types cc: Full-time
Schedules: On call",https://www.indeed.ca/m/viewjob?jk=50397c2fb4145dc8,IndeedScraperCANEng_50397c2fb4145dc8,IndeedScraperCANEng,Python,CANADA_ENGLISH,$75880 - $140920 yearly,TEMPORARILY_REMOTE
NEW,"Stagiaire en recherche, doctorat, été 2025",Google,"Waterloo, ON",2025-01-22,"Les candidatures seront examinées sur une base continue; les candidats ont donc intérêt à postuler rapidement. La période de dépôt des candidatures prévue est ouverte jusqu'au 28 février 2025, mais…","Job types: Full-time, Internship / Co-op
Job types cc: Full-time, Internship / Co-op",https://www.indeed.ca/m/viewjob?jk=496e5f25dd61395a,IndeedScraperCANEng_496e5f25dd61395a,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,Software Developer,Verily,"Waterloo, ON",2025-01-22,"Who We Are Verily is a subsidiary of Alphabet that is using a data-driven approach to change the way people manage their health and the way healthcare is delivered. Launched from Google X in 2015,…",,https://www.indeed.ca/m/viewjob?jk=edf8fc9ce35cf368,IndeedScraperCANEng_edf8fc9ce35cf368,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,Senior Data Engineer,Conexiom,"Kitchener, ON N2H 6R3",2025-01-31,"Focused on the use of proprietary, AI-powered technology to increase efficiencies in the B2B ordering process, Conexiom’s rapid growth stems from its ability to serve its customers with solutions that…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=c3dc79775f204aa8,IndeedScraperCANEng_c3dc79775f204aa8,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,"Software Developing Manager II, Service Orchestration, Google Cloud",Google,"Waterloo, ON",2025-02-08,"Note: By applying to this position you will have an opportunity to share your preferred working location from the following: Waterloo, ON, Canada; Toronto, ON, Canada. Minimum qualifications: •…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=5070d3540593c894,IndeedScraperCANEng_5070d3540593c894,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
